user_id,session_id,timestamp,key,press_time,release_time,dwell_time,flight_time,pause_duration,backspace,error_flag,typing_speed,state
user_01,user_01_sess_02,1710001231936,Key.t,1710001231936.75,1710001232105.14,168.39,189.65,0.0,0,0,33.5,Fatigued
user_01,user_01_sess_02,1710001232317,Key.m,1710001232317.2,1710001232478.77,161.57,212.06,0.0,0,0,32.1,Fatigued
user_01,user_01_sess_02,1710001232673,Key.backspace,1710001232673.77,1710001232824.05,150.28,195.0,0.0,1,1,34.8,Fatigued
user_02,user_02_sess_01,1710002110130,Key.backspace,1710002110130.45,1710002110228.16,97.71,109.45,0.0,0,0,57.9,Calm
user_02,user_02_sess_01,1710002110298,Key.d,1710002110298.6,1710002110380.08,81.48,70.44,0.0,0,0,79.0,Calm
user_02,user_02_sess_01,1710002110522,Key.h,1710002110522.99,1710002110625.64,102.64,142.92,0.0,0,0,48.9,Calm
user_02,user_02_sess_01,1710002110740,Key.z,1710002110740.78,1710002110876.7,135.92,115.14,0.0,0,0,47.8,Calm
user_02,user_02_sess_01,1710002110998,Key.w,1710002110998.64,1710002111092.25,93.61,121.94,0.0,0,0,55.7,Calm
user_02,user_02_sess_01,1710002111172,Key.k,1710002111172.59,1710002111232.74,60.15,80.34,0.0,0,0,85.4,Calm
user_02,user_02_sess_01,1710002111341,Key.o,1710002111341.53,1710002111411.22,69.68,108.79,0.0,0,0,67.2,Calm
user_02,user_02_sess_01,1710002111535,Key.h,1710002111535.1,1710002111656.74,121.64,123.89,0.0,0,0,48.9,Calm
user_02,user_02_sess_01,1710002111791,Key.backspace,1710002111791.73,1710002111882.71,90.98,134.99,0.0,1,1,53.1,Calm
user_02,user_02_sess_01,1710002112018,Key.enter,1710002112018.62,1710002112111.39,92.77,135.91,0.0,0,0,52.5,Calm
user_02,user_02_sess_01,1710002112200,Key.enter,1710002112200.49,1710002112278.4,77.91,89.11,0.0,0,0,71.8,Calm
user_02,user_02_sess_01,1710002112344,Key.v,1710002112344.8,1710002112443.66,98.85,66.4,0.0,0,0,72.6,Calm
user_02,user_02_sess_01,1710002112515,Key.w,1710002112515.85,1710002112622.28,106.43,72.19,0.0,0,0,67.2,Calm
user_02,user_02_sess_01,1710002112690,Key.e,1710002112690.87,1710002112767.42,76.54,68.59,0.0,0,0,82.7,Calm
user_02,user_02_sess_01,1710002112925,Key.s,1710002112925.79,1710002113003.52,77.74,158.37,0.0,0,0,50.8,Calm
user_02,user_02_sess_01,1710002113095,Key.x,1710002113095.66,1710002113162.73,67.07,92.13,0.0,0,0,75.4,Calm
user_02,user_02_sess_01,1710002113407,Key.shift,1710002113407.58,1710002113511.85,104.27,244.85,0.0,0,0,34.4,Calm
user_02,user_02_sess_01,1710002113597,Key.o,1710002113597.8,1710002113689.82,92.02,85.95,0.0,0,0,67.4,Calm
user_02,user_02_sess_01,1710002113747,Key.s,1710002113747.29,1710002113821.55,74.25,57.47,0.0,0,0,91.1,Calm
user_02,user_02_sess_01,1710002113973,Key.z,1710002113973.6,1710002114046.99,73.4,152.05,0.0,0,0,53.2,Calm
user_02,user_02_sess_01,1710002114100,Key.p,1710002114100.55,1710002114207.9,107.35,53.55,0.0,0,0,74.6,Calm
user_02,user_02_sess_01,1710002114332,Key.x,1710002114332.81,1710002114391.96,59.15,124.91,0.0,0,0,65.2,Calm
user_02,user_02_sess_01,1710002114457,Key.i,1710002114457.48,1710002114562.38,104.89,65.52,0.0,0,0,70.4,Calm
user_02,user_02_sess_01,1710002114627,Key.d,1710002114627.18,1710002114715.44,88.26,64.81,0.0,0,0,78.4,Calm
user_02,user_02_sess_01,1710002114831,Key.o,1710002114831.97,1710002114890.52,58.55,116.53,0.0,0,0,68.5,Calm
user_02,user_02_sess_02,1710001433485,Key.e,1710001433485.76,1710001433617.57,131.81,199.76,0.0,0,0,36.2,Fatigued
user_02,user_02_sess_02,1710001433843,Key.k,1710001433843.07,1710001433981.44,138.37,225.5,0.0,0,0,33.0,Fatigued
user_02,user_02_sess_02,1710001434145,Key.d,1710001434145.01,1710001434295.73,150.72,163.57,0.0,0,0,38.2,Fatigued
user_02,user_02_sess_02,1710001434535,Key.a,1710001434535.96,1710001434684.27,148.31,240.23,0.0,0,0,30.9,Fatigued
user_02,user_02_sess_02,1710001434968,Key.l,1710001434968.8,1710001435089.92,121.12,284.53,0.0,0,0,29.6,Fatigued
user_02,user_02_sess_02,1710001435300,Key.z,1710001435300.7,1710001435433.46,132.76,210.78,0.0,0,0,34.9,Fatigued
user_02,user_02_sess_02,1710001435680,Key.v,1710001435680.57,1710001435833.56,152.99,247.11,0.0,0,0,30.0,Fatigued
user_02,user_02_sess_02,1710001436074,Key.z,1710001436074.55,1710001436232.14,157.58,241.0,0.0,0,0,30.1,Fatigued
user_02,user_02_sess_02,1710001436406,Key.a,1710001436406.63,1710001436515.72,109.09,174.49,0.0,0,0,42.3,Fatigued
user_02,user_02_sess_02,1710001436754,Key.backspace,1710001436754.08,1710001436893.24,139.16,238.36,0.0,1,1,31.8,Fatigued
user_02,user_02_sess_02,1710001437139,Key.i,1710001437139.7,1710001437284.73,145.03,246.46,0.0,0,0,30.7,Fatigued
user_02,user_02_sess_02,1710001437506,Key.w,1710001437506.87,1710001437648.22,141.36,222.13,0.0,0,0,33.0,Fatigued
user_02,user_02_sess_02,1710001437904,Key.shift,1710001437904.36,1710001438060.3,155.94,256.14,0.0,0,0,29.1,Fatigued
user_02,user_02_sess_02,1710001438211,Key.enter,1710001438211.98,1710001438395.37,183.39,151.68,0.0,0,0,35.8,Fatigued
user_02,user_02_sess_02,1710001438652,Key.y,1710001438652.49,1710001438806.52,154.03,257.12,0.0,0,0,29.2,Fatigued
user_02,user_02_sess_02,1710001439033,Key.v,1710001439033.79,1710001439170.03,136.24,227.27,0.0,0,0,33.0,Fatigued
user_02,user_02_sess_02,1710001439434,Key.c,1710001439434.9,1710001439559.65,124.75,264.87,0.0,0,0,30.8,Fatigued
user_02,user_02_sess_02,1710001439755,Key.y,1710001439755.4,1710001439906.82,151.43,195.75,0.0,0,0,34.6,Fatigued
user_02,user_02_sess_02,1710001440109,Key.backspace,1710001440109.12,1710001440252.5,143.38,202.29,0.0,0,0,34.7,Fatigued
user_02,user_02_sess_02,1710001440447,Key.m,1710001440447.64,1710001440602.57,154.93,195.15,0.0,0,0,34.3,Fatigued
user_02,user_02_sess_02,1710001440835,Key.t,1710001440835.97,1710001440969.9,133.93,233.4,0.0,0,0,32.7,Fatigued
user_02,user_02_sess_02,1710001441227,Key.s,1710001441227.38,1710001441375.63,148.25,257.49,0.0,0,0,29.6,Fatigued
user_02,user_02_sess_02,1710001441624,Key.m,1710001441624.1,1710001441783.96,159.86,248.47,0.0,0,0,29.4,Fatigued
user_02,user_02_sess_02,1710001442117,Key.i,1710001442117.85,1710001442256.98,139.13,333.89,333.89,0,0,25.4,Fatigued
user_02,user_02_sess_02,1710001442506,Key.backspace,1710001442506.87,1710001442647.57,140.69,249.89,0.0,1,1,30.7,Fatigued
user_03,user_03_sess_01,1710004108701,Key.v,1710004108701.37,1710004108783.23,81.86,199.37,0.0,0,0,42.7,High_Workload
user_03,user_03_sess_01,1710004109046,Key.u,1710004109046.47,1710004109111.74,65.27,263.23,0.0,0,0,36.5,High_Workload
user_03,user_03_sess_01,1710004109311,Key.l,1710004109311.16,1710004109365.23,54.07,199.43,0.0,0,0,47.3,High_Workload
user_03,user_03_sess_01,1710004109554,Key.a,1710004109554.92,1710004109622.34,67.42,189.69,0.0,0,0,46.7,High_Workload
user_03,user_03_sess_01,1710004109870,Key.k,1710004109870.97,1710004109956.81,85.84,248.64,0.0,0,0,35.9,High_Workload
user_03,user_03_sess_01,1710004110127,Key.y,1710004110127.08,1710004110214.52,87.43,170.27,0.0,0,0,46.6,High_Workload
user_03,user_03_sess_01,1710004110445,Key.e,1710004110445.94,1710004110521.29,75.35,231.42,0.0,0,0,39.1,High_Workload
user_03,user_03_sess_01,1710004110741,Key.a,1710004110741.83,1710004110831.89,90.06,220.54,0.0,0,0,38.6,High_Workload
user_03,user_03_sess_01,1710004110970,Key.r,1710004110970.73,1710004111058.75,88.02,138.84,0.0,0,0,52.9,High_Workload
user_03,user_03_sess_01,1710004111241,Key.r,1710004111241.28,1710004111308.35,67.07,182.53,0.0,0,0,48.1,High_Workload
user_03,user_03_sess_01,1710004111527,Key.z,1710004111527.46,1710004111589.12,61.65,219.12,0.0,0,0,42.7,High_Workload
user_03,user_03_sess_01,1710004111778,Key.v,1710004111778.96,1710004111853.51,74.56,189.84,0.0,0,0,45.4,High_Workload
user_03,user_03_sess_01,1710004112070,Key.c,1710004112070.41,1710004112165.74,95.34,216.89,0.0,0,0,38.4,High_Workload
user_03,user_03_sess_01,1710004112409,Key.x,1710004112409.39,1710004112498.74,89.35,243.65,0.0,0,0,36.0,High_Workload
user_03,user_03_sess_01,1710004112674,Key.b,1710004112674.69,1710004112767.11,92.42,175.96,0.0,0,0,44.7,High_Workload
user_03,user_03_sess_01,1710004112978,Key.backspace,1710004112978.08,1710004113023.94,45.86,210.97,0.0,1,1,46.7,High_Workload
user_03,user_03_sess_01,1710004113176,Key.k,1710004113176.62,1710004113271.8,95.18,152.68,0.0,0,0,48.4,High_Workload
user_03,user_03_sess_01,1710004113495,Key.q,1710004113495.38,1710004113601.5,106.12,223.57,0.0,0,0,36.4,High_Workload
user_03,user_03_sess_01,1710004113844,Key.g,1710004113844.9,1710004113908.75,63.85,243.4,0.0,0,0,39.1,High_Workload
user_03,user_03_sess_01,1710004114132,Key.d,1710004114132.92,1710004114210.93,78.0,224.17,0.0,0,0,39.7,High_Workload
user_03,user_03_sess_01,1710004114364,Key.x,1710004114364.5,1710004114452.83,88.33,153.57,0.0,0,0,49.6,High_Workload
user_03,user_03_sess_01,1710004114648,Key.w,1710004114648.09,1710004114714.43,66.34,195.26,0.0,0,0,45.9,High_Workload
user_03,user_03_sess_01,1710004114970,Key.p,1710004114970.09,1710004115056.24,86.15,255.67,0.0,0,0,35.1,High_Workload
user_03,user_03_sess_01,1710004115270,Key.enter,1710004115270.03,1710004115322.77,52.74,213.79,0.0,0,0,45.0,High_Workload
user_03,user_03_sess_01,1710004115564,Key.t,1710004115564.45,1710004115657.81,93.36,241.68,0.0,0,0,35.8,High_Workload
user_03,user_03_sess_02,1710003474615,Key.m,1710003474615.58,1710003474716.81,101.23,173.58,0.0,0,0,43.7,High_Workload
user_03,user_03_sess_02,1710003474883,Key.w,1710003474883.09,1710003474987.79,104.7,166.28,0.0,0,0,44.3,High_Workload
user_03,user_03_sess_02,1710003475187,Key.enter,1710003475187.54,1710003475272.51,84.96,199.76,0.0,0,0,42.1,High_Workload
user_03,user_03_sess_02,1710003475445,Key.a,1710003475445.55,1710003475529.49,83.94,173.05,0.0,0,0,46.7,High_Workload
user_03,user_03_sess_02,1710003475721,Key.a,1710003475721.13,1710003475801.23,80.09,191.64,0.0,0,0,44.2,High_Workload
user_03,user_03_sess_02,1710003476038,Key.e,1710003476038.69,1710003476107.09,68.4,237.46,0.0,0,0,39.2,High_Workload
user_03,user_03_sess_02,1710003476315,Key.space,1710003476315.83,1710003476371.2,55.37,208.74,0.0,0,0,45.4,High_Workload
user_03,user_03_sess_02,1710003476550,Key.space,1710003476550.56,1710003476615.66,65.1,179.36,0.0,0,0,49.1,High_Workload
user_03,user_03_sess_02,1710003476802,Key.shift,1710003476802.46,1710003476905.41,102.96,186.8,0.0,0,0,41.4,High_Workload
user_03,user_03_sess_02,1710003477156,Key.u,1710003477156.85,1710003477273.94,117.09,251.44,0.0,0,0,32.6,High_Workload
user_03,user_03_sess_02,1710003477552,Key.a,1710003477552.82,1710003477622.68,69.86,278.87,0.0,0,0,34.4,High_Workload
user_03,user_03_sess_02,1710003477843,Key.b,1710003477843.4,1710003477950.21,106.8,220.72,0.0,0,0,36.6,High_Workload
user_03,user_03_sess_02,1710003478141,Key.n,1710003478141.94,1710003478225.6,83.66,191.74,0.0,0,0,43.6,High_Workload
user_03,user_03_sess_02,1710003478344,Key.p,1710003478344.22,1710003478402.93,58.7,118.63,0.0,0,0,67.7,High_Workload
user_03,user_03_sess_02,1710003478661,Key.z,1710003478661.57,1710003478705.05,43.47,258.65,0.0,0,0,39.7,High_Workload
user_03,user_03_sess_02,1710003478906,Key.backspace,1710003478906.62,1710003479004.29,97.67,201.57,0.0,0,0,40.1,High_Workload
user_03,user_03_sess_02,1710003479189,Key.p,1710003479189.25,1710003479291.06,101.82,184.96,0.0,0,0,41.8,High_Workload
user_03,user_03_sess_02,1710003479479,Key.i,1710003479479.92,1710003479566.83,86.91,188.86,0.0,0,0,43.5,High_Workload
user_03,user_03_sess_02,1710003479708,Key.k,1710003479708.83,1710003479795.59,86.76,141.99,0.0,0,0,52.5,High_Workload
user_03,user_03_sess_02,1710003480002,Key.enter,1710003480002.66,1710003480062.83,60.18,207.07,0.0,0,0,44.9,High_Workload
user_03,user_03_sess_02,1710003480290,Key.y,1710003480290.41,1710003480371.2,80.79,227.58,0.0,0,0,38.9,High_Workload
user_03,user_03_sess_02,1710003480533,Key.q,1710003480533.45,1710003480603.9,70.46,162.25,0.0,0,0,51.6,High_Workload
user_03,user_03_sess_02,1710003480877,Key.j,1710003480877.26,1710003480987.55,110.29,273.36,0.0,0,0,31.3,High_Workload
user_03,user_03_sess_02,1710003481097,Key.e,1710003481097.66,1710003481178.69,81.03,110.1,0.0,0,0,62.8,High_Workload
user_03,user_03_sess_02,1710003481337,Key.t,1710003481337.19,1710003481416.44,79.25,158.5,0.0,0,0,50.5,High_Workload
user_04,user_04_sess_01,1710004092685,Key.t,1710004092685.25,1710004092768.45,83.21,191.25,0.0,0,0,43.7,High_Workload
user_04,user_04_sess_01,1710004092947,Key.t,1710004092947.58,1710004093070.31,122.73,179.12,0.0,0,0,39.8,High_Workload
user_04,user_04_sess_01,1710004093264,Key.o,1710004093264.77,1710004093340.22,75.45,194.46,0.0,0,0,44.5,High_Workload
user_04,user_04_sess_01,1710004093541,Key.k,1710004093541.11,1710004093631.49,90.38,200.89,0.0,0,0,41.2,High_Workload
user_04,user_04_sess_01,1710004093763,Key.s,1710004093763.42,1710004093822.37,58.94,131.93,0.0,0,0,62.9,High_Workload
user_04,user_04_sess_01,1710004094010,Key.c,1710004094010.7,1710004094087.33,76.64,188.33,0.0,0,0,45.3,High_Workload
user_04,user_04_sess_01,1710004094246,Key.i,1710004094246.71,1710004094328.06,81.35,159.37,0.0,0,0,49.8,High_Workload
user_04,user_04_sess_01,1710004094548,Key.i,1710004094548.92,1710004094659.29,110.37,220.86,0.0,0,0,36.2,High_Workload
user_04,user_04_sess_01,1710004094827,Key.k,1710004094827.45,1710004094953.77,126.32,168.16,0.0,0,0,40.7,High_Workload
user_04,user_04_sess_01,1710004095199,Key.e,1710004095199.14,1710004095271.21,72.07,245.37,0.0,0,0,37.8,High_Workload
user_04,user_04_sess_01,1710004095451,Key.w,1710004095451.08,1710004095543.89,92.81,179.87,0.0,0,0,44.0,High_Workload
user_04,user_04_sess_01,1710004095753,Key.b,1710004095753.59,1710004095808.42,54.83,209.7,0.0,0,0,45.4,High_Workload
user_04,user_04_sess_01,1710004095918,Key.z,1710004095918.69,1710004095994.98,76.29,110.27,0.0,0,0,64.3,High_Workload
user_04,user_04_sess_01,1710004096165,Key.s,1710004096165.89,1710004096230.98,65.09,170.92,0.0,0,0,50.8,High_Workload
user_04,user_04_sess_01,1710004096452,Key.k,1710004096452.76,1710004096535.89,83.13,221.78,0.0,0,0,39.4,High_Workload
user_04,user_04_sess_01,1710004096752,Key.o,1710004096752.33,1710004096821.94,69.62,216.44,0.0,0,0,41.9,High_Workload
user_04,user_04_sess_01,1710004097041,Key.v,1710004097041.06,1710004097131.25,90.19,219.11,0.0,0,0,38.8,High_Workload
user_04,user_04_sess_01,1710004097294,Key.r,1710004097294.59,1710004097391.39,96.79,163.34,0.0,0,0,46.1,High_Workload
user_04,user_04_sess_01,1710004097603,Key.h,1710004097603.74,1710004097667.36,63.63,212.35,0.0,0,0,43.5,High_Workload
user_04,user_04_sess_01,1710004097825,Key.a,1710004097825.71,1710004097910.39,84.68,158.35,0.0,0,0,49.4,High_Workload
user_04,user_04_sess_01,1710004098100,Key.enter,1710004098100.76,1710004098194.52,93.76,190.38,0.0,0,0,42.2,High_Workload
user_04,user_04_sess_01,1710004098370,Key.s,1710004098370.26,1710004098447.59,77.33,175.74,0.0,0,0,47.4,High_Workload
user_04,user_04_sess_01,1710004098645,Key.p,1710004098645.62,1710004098700.42,54.8,198.04,0.0,0,0,47.5,High_Workload
user_04,user_04_sess_01,1710004098850,Key.g,1710004098850.88,1710004098945.92,95.04,150.46,0.0,0,0,48.9,High_Workload
user_04,user_04_sess_01,1710004099114,Key.m,1710004099114.77,1710004099237.79,123.02,168.85,0.0,0,0,41.1,High_Workload
user_04,user_04_sess_02,1710000796851,Key.space,1710000796851.94,1710000796944.25,92.31,184.94,0.0,0,0,43.3,High_Workload
user_04,user_04_sess_02,1710000797189,Key.d,1710000797189.56,1710000797278.34,88.78,245.3,0.0,0,0,35.9,High_Workload
user_04,user_04_sess_02,1710000797492,Key.enter,1710000797492.71,1710000797582.29,89.57,214.37,0.0,0,0,39.5,High_Workload
user_04,user_04_sess_02,1710000797757,Key.v,1710000797757.55,1710000797844.66,87.1,175.27,0.0,0,0,45.7,High_Workload
user_04,user_04_sess_02,1710000798055,Key.n,1710000798055.94,1710000798131.01,75.07,211.28,0.0,0,0,41.9,High_Workload
user_04,user_04_sess_02,1710000798366,Key.o,1710000798366.54,1710000798442.04,75.5,235.54,0.0,0,0,38.6,High_Workload
user_04,user_04_sess_02,1710000798709,Key.shift,1710000798709.34,1710000798802.08,92.74,267.3,0.0,0,0,33.3,High_Workload
user_04,user_04_sess_02,1710000798984,Key.j,1710000798984.41,1710000799070.3,85.88,182.33,0.0,0,0,44.7,High_Workload
user_04,user_04_sess_02,1710000799310,Key.o,1710000799310.43,1710000799349.23,38.8,240.14,0.0,0,0,43.0,High_Workload
user_04,user_04_sess_02,1710000799525,Key.y,1710000799525.22,1710000799589.47,64.25,175.99,0.0,0,0,49.9,High_Workload
user_04,user_04_sess_02,1710000799778,Key.y,1710000799778.34,1710000799889.04,110.7,188.87,0.0,0,0,40.1,High_Workload
user_04,user_04_sess_02,1710000800049,Key.s,1710000800049.3,1710000800121.03,71.73,160.26,0.0,0,0,51.7,High_Workload
user_04,user_04_sess_02,1710000800296,Key.a,1710000800296.14,1710000800369.81,73.66,175.11,0.0,0,0,48.2,High_Workload
user_04,user_04_sess_02,1710000800588,Key.k,1710000800588.83,1710000800662.57,73.74,219.02,0.0,0,0,41.0,High_Workload
user_04,user_04_sess_02,1710000800837,Key.k,1710000800837.01,1710000800940.17,103.17,174.44,0.0,0,0,43.2,High_Workload
user_04,user_04_sess_02,1710000801113,Key.backspace,1710000801113.6,1710000801219.05,105.46,173.42,0.0,1,1,43.0,High_Workload
user_04,user_04_sess_02,1710000801479,Key.w,1710000801479.03,1710000801582.98,103.95,259.98,0.0,0,0,33.0,High_Workload
user_04,user_04_sess_02,1710000801755,Key.b,1710000801755.03,1710000801815.98,60.95,172.05,0.0,0,0,51.5,High_Workload
user_04,user_04_sess_02,1710000801955,Key.g,1710000801955.15,1710000802027.82,72.68,139.17,0.0,0,0,56.6,High_Workload
user_04,user_04_sess_02,1710000802178,Key.u,1710000802178.43,1710000802263.47,85.04,150.61,0.0,0,0,50.9,High_Workload
user_04,user_04_sess_02,1710000802420,Key.h,1710000802420.69,1710000802516.31,95.62,157.22,0.0,0,0,47.5,High_Workload
user_04,user_04_sess_02,1710000802726,Key.d,1710000802726.97,1710000802839.05,112.08,210.66,0.0,0,0,37.2,High_Workload
user_04,user_04_sess_02,1710000803052,Key.e,1710000803052.59,1710000803154.28,101.69,213.53,0.0,0,0,38.1,High_Workload
user_04,user_04_sess_02,1710000803326,Key.r,1710000803326.38,1710000803435.06,108.68,172.11,0.0,0,0,42.7,High_Workload
user_04,user_04_sess_02,1710000803607,Key.s,1710000803607.72,1710000803676.43,68.71,172.66,0.0,0,0,49.7,High_Workload
user_05,user_05_sess_01,1710003256050,Key.k,1710003256050.47,1710003256111.49,61.02,164.47,0.0,0,0,53.2,High_Workload
user_05,user_05_sess_01,1710003256286,Key.q,1710003256286.54,1710003256363.7,77.16,175.06,0.0,0,0,47.6,High_Workload
user_05,user_05_sess_01,1710003256562,Key.v,1710003256562.31,1710003256625.84,63.53,198.61,0.0,0,0,45.8,High_Workload
user_05,user_05_sess_01,1710003256837,Key.space,1710003256837.82,1710003256913.69,75.86,211.98,0.0,0,0,41.7,High_Workload
user_05,user_05_sess_01,1710003257130,Key.backspace,1710003257130.83,1710003257213.73,82.9,217.14,0.0,1,1,40.0,High_Workload
user_05,user_05_sess_01,1710003257414,Key.p,1710003257414.69,1710003257491.25,76.56,200.95,0.0,0,0,43.2,High_Workload
user_05,user_05_sess_01,1710003257675,Key.g,1710003257675.75,1710003257770.23,94.48,184.5,0.0,0,0,43.0,High_Workload
user_05,user_05_sess_01,1710003257978,Key.m,1710003257978.31,1710003258040.0,61.69,208.08,0.0,0,0,44.5,High_Workload
user_05,user_05_sess_01,1710003258236,Key.d,1710003258236.16,1710003258336.09,99.93,196.16,0.0,0,0,40.5,High_Workload
user_05,user_05_sess_01,1710003258528,Key.s,1710003258528.16,1710003258654.48,126.32,192.07,0.0,0,0,37.7,High_Workload
user_05,user_05_sess_01,1710003258832,Key.z,1710003258832.95,1710003258937.24,104.29,178.46,0.0,0,0,42.4,High_Workload
